,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255
10,0,0,256,64,96,96,64,0,64,96,64,32,32,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,32,128,0,96,32,96,0,64,64,160,0,32,160,32,96,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,32,0,160,160,96,0,96,96,96,32,96,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,96,0,64,160,32,0,128,96,32,32,96,160,32,32,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,96,128,64,128,0,32,160,96,32,64,96,32,64,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,128,0,64,32,32,64,32,32,32,96,64,96,0,32,224,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,4,0,0,6,6,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,16,0,0,4,4,4,12,8,8,0,0,0,8,0,0,8,8,0,0,12,12,0,8,4,4,0,0,0,8,0,0,28,48,0,0,22,22,10,38,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,24,36,0,0,24,24,6,30,18,18,0,0,0,4,0,0,8,12,0,0,8,8,2,10,6,6,0,0,0,4,0,0,12,20,0,0,10,10,4,16,10,10,0,0,0,4,0,0,4,4,0,0,6,6,0,4,2,2,0,0,0,12,0,0,12,12,0,0,18,18,0,12,6,6,0,0,0,8,0,0,12,16,0,0,14,14,2,14,8,8,0,0,0,0,0,0,8,16,0,0,4,4,4,12,8,8
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,6,0,0,6,2,0,0,0,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,4,0,8,8,12,8,4,0,8,0,0,0,8,4,12,0,0,12,4,0,0,0,8,0,0,8,8,0,18,14,12,10,10,12,24,20,30,20,18,0,20,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,12,18,6,6,18,18,12,18,12,18,0,12,12,12,0,6,4,6,2,2,6,6,4,6,4,6,0,4,4,4,0,8,6,6,4,4,6,10,8,12,8,8,0,8,4,4,0,4,2,6,0,0,6,2,0,0,0,4,0,0,4,4,0,12,6,18,0,0,18,6,0,0,0,12,0,0,12,12,0,10,6,12,2,2,12,8,4,6,4,10,0,4,8,8,0,4,4,0,4,4,0,8,8,12,8,4,0,8,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,2,6,2,2,0,2,0,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,4,4,0,8,4,12,0,0,16,0,0,0,0,8,12,4,12,4,4,0,4,0,4,8,4,0,0,20,0,28,12,4,22,14,4,20,14,30,4,8,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,24,18,6,24,12,6,12,12,18,6,12,30,0,0,4,0,8,6,2,8,4,2,4,4,6,2,4,10,0,0,8,0,12,6,2,10,6,2,8,6,12,2,4,18,0,0,0,0,4,6,2,6,2,2,0,2,0,2,4,2,0,0,0,0,12,18,6,18,6,6,0,6,0,6,12,6,0,0,4,0,12,12,4,14,6,4,4,6,6,4,8,12,0,0,8,0,8,0,0,4,4,0,8,4,12,0,0,16,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,4,0,2,2,0,10,2,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,16,8,0,4,8,0,0,4,4,4,0,4,4,0,4,8,0,4,4,0,20,4,4,4,0,0,4,4,14,10,4,18,40,24,4,10,40,4,4,14,10,10,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,6,18,24,18,6,6,42,6,6,12,6,6,6,12,4,2,2,6,8,6,2,2,14,2,2,4,2,2,2,4,6,4,2,8,16,10,2,4,18,2,2,6,4,4,2,6,2,0,2,4,0,2,2,0,10,2,2,2,0,0,2,2,6,0,6,12,0,6,6,0,30,6,6,6,0,0,6,6,6,2,4,10,8,8,4,2,24,4,4,6,2,2,4,6,4,4,0,4,16,8,0,4,8,0,0,4,4,4,0,4
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,2,2,0,0,4,2,0,4,0,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,4,0,8,0,4,4,4,0,0,12,4,4,0,0,0,12,4,4,4,0,0,8,4,0,8,0,4,8,8,0,0,62,14,4,24,0,10,18,14,0,8,30,14,18,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,12,6,18,0,6,18,12,0,12,18,12,18,12,0,0,16,4,2,6,0,2,6,4,0,4,6,4,6,4,0,0,26,6,2,10,0,4,8,6,0,4,12,6,8,4,0,0,6,2,2,2,0,0,4,2,0,4,0,2,4,4,0,0,18,6,6,6,0,0,12,6,0,12,0,6,12,12,0,0,22,6,4,8,0,2,10,6,0,8,6,6,10,8,0,0,20,4,0,8,0,4,4,4,0,0,12,4,4,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,6,0,2,2,0,2,0,4,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,12,4,0,0,8,4,8,12,4,0,12,8,0,12,0,4,4,0,4,0,8,0,4,0,8,0,32,18,0,12,0,4,34,10,4,0,28,10,24,30,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,18,0,18,0,6,24,6,6,0,24,6,18,18,18,0,10,6,0,6,0,2,8,2,2,0,8,2,6,6,6,0,14,8,0,6,0,2,14,4,2,0,12,4,10,12,8,0,6,4,0,6,0,2,2,0,2,0,4,0,2,0,4,0,18,12,0,18,0,6,6,0,6,0,12,0,6,0,12,0,16,10,0,12,0,4,10,2,4,0,12,2,8,6,10,0,8,4,0,0,0,0,12,4,0,0,8,4,8,12,4
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,6,0,0,0,4,4,4,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,8,4,4,0,4,12,4,4,0,12,0,8,12,0,0,0,8,8,8,4,0,0,4,0,0,42,30,8,12,0,0,0,28,18,18,4,10,30,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,18,12,18,0,0,0,24,18,18,6,6,18,12,6,0,12,6,4,6,0,0,0,8,6,6,2,2,6,4,2,0,18,12,4,6,0,0,0,12,8,8,2,4,12,6,4,0,6,0,4,6,0,0,0,4,4,4,2,0,0,2,0,0,18,0,12,18,0,0,0,12,12,12,6,0,0,6,0,0,18,6,8,12,0,0,0,12,10,10,4,2,6,6,2,0,12,12,0,0,0,0,0,8,4,4,0,4,12,4,4
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,6,2,4,2,2,0,0,0,2,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,0,0,0,0,8,8,0,4,12,4,0,4,8,0,8,4,0,12,4,8,4,4,0,0,0,4,8,0,8,0,18,34,0,12,4,8,24,24,0,10,30,14,8,10,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,24,0,18,6,12,18,18,0,6,18,12,12,6,24,0,6,8,0,6,2,4,6,6,0,2,6,4,4,2,8,0,8,14,0,6,2,4,10,10,0,4,12,6,4,4,12,0,4,2,0,6,2,4,2,2,0,0,0,2,4,0,4,0,12,6,0,18,6,12,6,6,0,0,0,6,12,0,12,0,10,10,0,12,4,8,8,8,0,2,6,6,8,2,12,0,4,12,0,0,0,0,8,8,0,4,12,4,0,4,8
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,2,4,0,6,0,4,0,2,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,8,0,4,0,12,8,4,4,4,4,0,4,0,12,4,4,8,0,12,0,8,0,4,0,4,0,0,8,0,42,4,4,28,0,22,0,38,20,14,10,14,10,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,6,6,24,0,24,0,30,12,12,6,12,6,0,18,0,12,2,2,8,0,8,0,10,4,4,2,4,2,0,6,0,18,2,2,12,0,10,0,16,8,6,4,6,4,0,8,0,6,2,2,4,0,6,0,4,0,2,0,2,0,0,4,0,18,6,6,12,0,18,0,12,0,6,0,6,0,0,12,0,18,4,4,12,0,14,0,14,4,6,2,6,2,0,10,0,12,0,0,8,0,4,0,12,8,4,4,4,4,0,4
