,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255
10,0,224,64,64,0,32,32,32,160,64,64,64,96,64,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,64,96,32,0,32,32,192,128,32,32,32,96,128,32,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,192,0,160,64,96,0,128,64,64,32,192,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,192,0,32,160,96,64,64,32,64,32,96,0,32,96,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,96,64,0,64,64,160,128,96,32,64,96,32,0,96,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,32,32,32,32,96,32,96,32,160,64,128,32,96,64,64,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,12,0,4,2,6,8,4,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,18,0,30,0,12,6,14,24,10,14,12,0,0,0,16,0,20,0,24,0,4,2,14,8,8,14,18,0,0,0,12,0,6,0,18,0,12,6,6,24,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,12,0,4,2,6,8,4,6,6,0,0,0,4,0,2,0,6,0,4,2,2,8,2,2,0,0,0,0,4,0,6,0,6,0,0,0,4,0,2,4,6,0,0,0,24,0,28,0,36,0,8,4,20,16,12,20,24,0,0,0,20,0,18,0,30,0,12,6,14,24,10,14,12,0,0,0,4,0,6,0,6,0,0,0,4,0,2,4,6,0,0,0,8,0,8,0,12,0,4,2,6,8,4,6,6
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,6,4,6,2,6,4,6,6,4,2,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,6,14,8,12,6,14,12,12,18,12,6,10,0,14,0,10,2,14,12,18,2,14,4,18,6,4,2,8,0,14,0,12,6,6,0,0,6,6,12,0,18,12,6,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,6,4,6,2,6,4,6,6,4,2,4,0,6,0,4,2,2,0,0,2,2,4,0,6,4,2,2,0,2,0,2,0,4,4,6,0,4,0,6,0,0,0,2,0,4,0,16,4,20,16,24,4,20,8,24,12,8,4,12,0,20,0,16,6,14,8,12,6,14,12,12,18,12,6,10,0,14,0,2,0,4,4,6,0,4,0,6,0,0,0,2,0,4,0,6,2,6,4,6,2,6,4,6,6,4,2,4,0,6,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,2,0,4,2,0,4,10,6,2,8,6,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,8,4,0,8,6,0,8,22,14,6,24,16,12,10,0,12,12,6,0,12,2,0,12,26,14,2,8,10,4,8,0,18,0,0,0,0,6,0,0,6,6,6,24,12,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,2,0,4,2,0,4,10,6,2,8,6,4,4,0,6,0,0,0,0,2,0,0,2,2,2,8,4,4,2,0,2,4,2,0,4,0,0,4,8,4,0,0,2,0,2,0,20,16,8,0,16,4,0,16,36,20,4,16,16,8,12,0,22,8,4,0,8,6,0,8,22,14,6,24,16,12,10,0,2,4,2,0,4,0,0,4,8,4,0,0,2,0,2,0,8,4,2,0,4,2,0,4,10,6,2,8,6,4,4
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,12,0,12,2,0,6,6,2,0,4,0,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,14,34,0,26,4,0,16,12,4,0,10,0,6,10,6,6,14,16,0,32,6,0,10,18,6,0,8,0,2,8,2,18,6,30,0,6,0,0,12,0,0,0,6,0,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,12,0,12,2,0,6,6,2,0,4,0,2,4,2,6,2,10,0,2,0,0,4,0,0,0,2,0,2,2,2,0,4,2,0,10,2,0,2,6,2,0,2,0,0,2,0,12,20,28,0,44,8,0,16,24,8,0,12,0,4,12,4,18,14,34,0,26,4,0,16,12,4,0,10,0,6,10,6,0,4,2,0,10,2,0,2,6,2,0,2,0,0,2,0,6,6,12,0,12,2,0,6,6,2,0,4,0,2,4,2
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,2,8,6,0,2,6,10,4,0,2,4,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,16,6,20,14,0,6,14,24,10,0,6,8,14,12,0,8,10,2,16,14,0,2,14,22,8,0,2,12,14,4,0,6,12,6,12,6,0,6,6,12,6,0,6,0,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,2,8,6,0,2,6,10,4,0,2,4,6,4,0,2,4,2,4,2,0,2,2,4,2,0,2,0,2,4,0,2,2,0,4,4,0,0,4,6,2,0,0,4,4,0,0,12,16,4,24,20,0,4,20,32,12,0,4,16,20,8,0,10,16,6,20,14,0,6,14,24,10,0,6,8,14,12,0,2,2,0,4,4,0,0,4,6,2,0,0,4,4,0,0,4,6,2,8,6,0,2,6,10,4,0,2,4,6,4
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,6,4,4,2,6,2,6,8,4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,16,14,10,8,6,16,4,14,20,10,10,0,10,12,6,2,10,14,8,12,2,10,6,14,16,8,8,0,8,4,0,6,12,6,6,0,6,12,0,6,12,6,6,0,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,6,4,4,2,6,2,6,8,4,4,0,4,4,0,2,4,2,2,0,2,4,0,2,4,2,2,0,2,4,2,0,2,4,2,4,0,2,2,4,4,2,2,0,2,0,8,4,16,20,12,16,4,16,8,20,24,12,12,0,12,8,4,6,16,14,10,8,6,16,4,14,20,10,10,0,10,12,2,0,2,4,2,4,0,2,2,4,4,2,2,0,2,0,2,2,6,6,4,4,2,6,2,6,8,4,4,0,4,4
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,6,8,4,2,6,2,0,2,0,4,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,36,12,20,12,6,16,6,0,4,0,8,4,0,26,0,8,26,18,16,4,2,10,2,0,6,0,12,6,0,18,0,6,24,0,12,12,6,12,6,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,6,8,4,2,6,2,0,2,0,4,2,0,10,0,2,8,0,4,4,2,4,2,0,0,0,0,0,0,6,0,2,6,6,4,0,0,2,0,0,2,0,4,2,0,4,0,12,40,24,24,8,4,16,4,0,8,0,16,8,0,28,0,10,36,12,20,12,6,16,6,0,4,0,8,4,0,26,0,2,6,6,4,0,0,2,0,0,2,0,4,2,0,4,0,4,14,6,8,4,2,6,2,0,2,0,4,2,0,10
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,8,0,0,2,0,2,2,6,0,8,8,2,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,20,0,0,4,0,4,6,18,0,20,22,6,28,12,6,10,16,0,0,6,0,6,2,6,0,16,12,2,28,18,0,12,12,0,0,0,0,0,6,18,0,12,18,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,8,0,0,2,0,2,2,6,0,8,8,2,12,6,0,4,4,0,0,0,0,0,2,6,0,4,6,2,4,0,2,2,4,0,0,2,0,2,0,0,0,4,2,0,8,6,8,16,24,0,0,8,0,8,4,12,0,24,20,4,40,24,4,16,20,0,0,4,0,4,6,18,0,20,22,6,28,12,2,2,4,0,0,2,0,2,0,0,0,4,2,0,8,6,2,6,8,0,0,2,0,2,2,6,0,8,8,2,12,6
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,6,8,4,2,2,6,4,6,4,2,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,14,12,22,10,6,6,12,10,16,10,6,10,4,12,0,8,14,18,12,8,2,2,18,8,10,8,2,8,6,4,0,6,6,0,18,6,6,6,0,6,12,6,6,6,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,6,8,4,2,2,6,4,6,4,2,4,2,4,0,2,2,0,6,2,2,2,0,2,4,2,2,2,0,4,0,2,4,6,2,2,0,0,6,2,2,2,0,2,2,0,0,12,20,24,20,12,4,4,24,12,16,12,4,12,8,8,0,10,14,12,22,10,6,6,12,10,16,10,6,10,4,12,0,2,4,6,2,2,0,0,6,2,2,2,0,2,2,0,0,4,6,6,8,4,2,2,6,4,6,4,2,4,2,4
